date,value
1959-01-02,-0.08961215868968697
1959-01-03,-0.06453852113757108
1959-01-04,0.03278982282299081
1959-01-05,0.35020242943311475
1959-01-06,-0.4168938039317869
1959-01-07,0.4393666597838455
1959-01-08,-0.04546237407675724
1959-01-09,-0.12361395596717673
1959-01-10,-0.34174929372205654
1959-01-11,0.34174929372205654
1959-01-12,-0.14107859825990543
1959-01-13,0.5108256237659909
1959-01-14,-0.15718558352241274
1959-01-15,-0.04348511193973881
1959-01-16,-0.19574457712609528
1959-01-17,0.3011050927839216
1959-01-18,-0.15082288973458358
1959-01-19,-0.047628048989254435
1959-01-20,0.23767165187711958
1959-01-21,-0.42488319396526597
1959-01-22,0.4439313889359604
1959-01-23,-0.30673026742247567
1959-01-24,-0.19782574332991976
1959-01-25,0.1451820098444978
1959-01-26,0.15028220304933804
1959-01-27,-0.09763846956391609
1959-01-28,-0.10821358464023279
1959-01-29,0.2288415724288475
1959-01-30,-0.14660347419187536
1959-01-31,-0.4595323293784399
1959-02-01,-0.04255961441879608
1959-02-02,0.2984929885559966
1959-02-03,0.35020242943311475
1959-02-04,-0.14660347419187536
1959-02-05,0.2744368457017603
1959-02-06,-0.2744368457017603
1959-02-07,0.29423947299794007
1959-02-08,-0.49783842823917945
1959-02-09,0.0
1959-02-10,0.49783842823917945
1959-02-11,-0.3483066942682158
1959-02-12,0.2231435513142097
1959-02-13,0.1251631429540061
1959-02-14,-0.40546510810816416
1959-02-15,0.42488319396526597
1959-02-16,-0.1010961168713691
1959-02-17,-0.04348511193973881
1959-02-18,0.02197890671877545
1959-02-19,-0.16507975035944877
1959-02-20,0.20763936477824485
1959-02-21,-0.2602830982636668
1959-02-22,-0.055569851154810834
1959-02-23,0.395895657092014
1959-02-24,-0.21357410029805912
1959-02-25,0.06899287148695121
1959-02-26,-0.14310084364067333
1959-02-27,-0.05264373348542195
1959-02-28,-0.2097205309820689
1959-03-01,0.15415067982725805
1959-03-02,-0.2231435513142097
1959-03-03,0.4744579795951158
1959-03-04,-0.28030196515415806
1959-03-05,0.05715841383994835
1959-03-06,0.32850406697203605
1959-03-07,-0.12783337150988494
1959-03-08,-0.12062798778861472
1959-03-09,-0.19782574332991976
1959-03-10,0.19782574332991976
1959-03-11,0.14310084364067333
1959-03-12,-0.04546237407675724
1959-03-13,-0.09763846956391609
1959-03-14,-0.22957444164450003
1959-03-15,-0.13815033848081715
1959-03-16,0.10536051565782634
1959-03-17,0.33647223662121295
1959-03-18,0.09097177820572666
1959-03-19,-0.11506932978478712
1959-03-20,-0.13005312824819804
1959-03-21,0.2231435513142097
1959-03-22,0.02197890671877545
1959-03-23,-0.06744128079553269
1959-03-24,-0.12361395596717673
1959-03-25,-0.1112256351102241
1959-03-26,0.02898753687325195
1959-03-27,0.47000362924573613
1959-03-28,-0.44183275227903973
1959-03-29,-0.11778303565638337
1959-03-30,0.4462871026284194
1959-03-31,-0.198450938723838
1959-04-01,-0.05001042057466165
1959-04-02,0.05001042057466165
1959-04-03,0.13657553500575048
1959-04-04,-0.32378707709389687
1959-04-05,0.05715841383994835
1959-04-06,-0.08701137698962969
1959-04-07,0.058840500022933284
1959-04-08,0.08223809823697215
